username;firstname;lastname;initials;ou;city;zipcode;country;company;state;streetaddress;telephone;email;jobtitle;department;manager;password
tmäkinen;Tuija;Mäkinen;TM;OU=Projektinhallinta,OU=Oulu,DC=tahvanainen,DC=local;Oulu;38853;Finland;ITKuntoon;Oulu;Vellikellontie 1;+358 40 1472481;tmäkinen@itkuntoon.com;Projektipäällikkö;Projektinhallinta;;wFANECqvlq2!
tpelkonen;Tuulia;Pelkonen;TP;OU=Projektinhallinta,OU=Oulu,DC=tahvanainen,DC=local;Oulu;05176;Finland;ITKuntoon;Oulu;Bengalinkuja 16;+358 44 7363361;tpelkonen@itkuntoon.com;Scrum Master;Projektinhallinta;tmäkinen;()6Zqzo1O!(w
hkolehmainen;Heikki;Kolehmainen;HK;OU=Asiakastuki,OU=Kotka,DC=tahvanainen,DC=local;Kotka;83021;Finland;ITKuntoon;Kotka;Neontie 203;+358 40 9461811;hkolehmainen@itkuntoon.com;Support Specialist;Asiakastuki;tpelkonen;x#8Qwtqf@82Z
jkärkkäinen;Juho;Kärkkäinen;JK;OU=Tuotekehitys,OU=Oulu,DC=tahvanainen,DC=local;Oulu;54003;Finland;ITKuntoon;Oulu;Urheilupolku 3;+358 44 2979760;jkärkkäinen@itkuntoon.com;Tuotekehittäjä;Tuotekehitys;hkolehmainen;C%r0OAsq_m1V
tkarjalainen;Tapio;Karjalainen;TK;OU=Tuotekehitys,OU=Oulu,DC=tahvanainen,DC=local;Oulu;61700;Finland;ITKuntoon;Oulu;Dosentinkatu 8;+358 40 7215116;tkarjalainen@itkuntoon.com;Innovaatioasiantuntija;Tuotekehitys;hkolehmainen;^46WSnBpJ+T+
lliimatainen;Laura;Liimatainen;LL;OU=Projektinhallinta,OU=Oulu,DC=tahvanainen,DC=local;Oulu;44331;Finland;ITKuntoon;Oulu;Agroksenbulevardi 512;+358 50 3745996;lliimatainen@itkuntoon.com;Projektipäällikkö;Projektinhallinta;hkolehmainen;sdDIRSboE!_7
skosonen;Saara;Kosonen;SK;OU=Tuotekehitys,OU=Oulu,DC=tahvanainen,DC=local;Oulu;53325;Finland;ITKuntoon;Oulu;Uskalikonbulevardi 1;+358 40 7455086;skosonen@itkuntoon.com;Tuotekehittäjä;Tuotekehitys;tkarjalainen;uy0sDBakM))Z
alindholm;Antero;Lindholm;AL;OU=Ohjelmistokehitys,OU=Oulu,DC=tahvanainen,DC=local;Oulu;93085;Finland;ITKuntoon;Oulu;Ahvenkoskenkuja 07;+358 40 7726101;alindholm@itkuntoon.com;Full Stack Developer;Ohjelmistokehitys;lliimatainen;_@vHNEWri4lC
eperälä;Elisa;Perälä;EP;OU=Projektinhallinta,OU=Oulu,DC=tahvanainen,DC=local;Oulu;36518;Finland;ITKuntoon;Oulu;Bergankuja 42;+358 45 1750865;eperälä@itkuntoon.com;Projektipäällikkö;Projektinhallinta;tpelkonen;POGLP0Fd7&_7
auusitalo;Aapo;Uusitalo;AU;OU=Johto,OU=Lahti,DC=tahvanainen,DC=local;Lahti;50403;Finland;ITKuntoon;Lahti;Laakavuorenpolku 6;+358 45 1340214;auusitalo@itkuntoon.com;Toimitusjohtaja;Johto;jkärkkäinen;xWQ5AyrC@)Yz
khelenius;Kari;Helenius;KH;OU=Verkkoylläpito,OU=Kotka,DC=tahvanainen,DC=local;Kotka;18170;Finland;ITKuntoon;Kotka;Ormuskatu 4;+358 40 7527097;khelenius@itkuntoon.com;Verkkoylläpitäjä;Verkkoylläpito;skosonen;#1YMSH1xRqYx
jheikkilä;Juhani;Heikkilä;JH;OU=Verkkoylläpito,OU=Kotka,DC=tahvanainen,DC=local;Kotka;13477;Finland;ITKuntoon;Kotka;Sahaajankatu 79;+358 40 3969186;jheikkilä@itkuntoon.com;Järjestelmänvalvoja;Verkkoylläpito;alindholm;+T62vjQnX!YY
ksainio;Kalevi;Sainio;KS;OU=Taloushallinto,OU=Lahti,DC=tahvanainen,DC=local;Lahti;12853;Finland;ITKuntoon;Lahti;Salamabulevardi 750;+358 41 9661530;ksainio@itkuntoon.com;Talouspäällikkö;Taloushallinto;khelenius;$Wm0s4TJ1yLE
jnyman;Jorma;Nyman;JN;OU=Asiakastuki,OU=Kotka,DC=tahvanainen,DC=local;Kotka;55803;Finland;ITKuntoon;Kotka;Haahkakatu 372;+358 41 7739245;jnyman@itkuntoon.com;Asiakaspalvelija;Asiakastuki;tmäkinen;8+)f6H@k$oon
htamminen;Heli;Tamminen;HT;OU=Henkilöstöhallinto,OU=Lahti,DC=tahvanainen,DC=local;Lahti;40252;Finland;ITKuntoon;Lahti;Werner Wirénin kuja 83;+358 41 5200491;htamminen@itkuntoon.com;HR-assistentti;Henkilöstöhallinto;tmäkinen;gJw@@hTod6qG
kahonen;Kristian;Ahonen;KA;OU=Asiakastuki,OU=Kotka,DC=tahvanainen,DC=local;Kotka;14336;Finland;ITKuntoon;Kotka;Tuulilasinbulevardi 90;+358 40 6022043;kahonen@itkuntoon.com;Asiakaspalvelija;Asiakastuki;eperälä;TvO$E3Ni7QSq
atiihonen;Antero;Tiihonen;AT;OU=Tuotekehitys,OU=Oulu,DC=tahvanainen,DC=local;Oulu;84705;Finland;ITKuntoon;Oulu;Mamsellimyllyntie 74;+358 41 3609279;atiihonen@itkuntoon.com;Tuotekehittäjä;Tuotekehitys;tmäkinen;@FKU8+25(W6b
hniemi;Helmi;Niemi;HN;OU=Tuotekehitys,OU=Oulu,DC=tahvanainen,DC=local;Oulu;69076;Finland;ITKuntoon;Oulu;Degermosanbulevardi 6;+358 41 3424800;hniemi@itkuntoon.com;Innovaatioasiantuntija;Tuotekehitys;tkarjalainen;D^W9T$fJ325M
esavolainen;Elina;Savolainen;ES;OU=Projektinhallinta,OU=Oulu,DC=tahvanainen,DC=local;Oulu;01561;Finland;ITKuntoon;Oulu;Yrjö-Koskisen polku 3;+358 40 6933280;esavolainen@itkuntoon.com;Projektipäällikkö;Projektinhallinta;jheikkilä;((3(DlUXtrJM
mkinnunen;Mirjam;Kinnunen;MK;OU=Tietoturva,OU=Kotka,DC=tahvanainen,DC=local;Kotka;84826;Finland;ITKuntoon;Kotka;Tyynylaavanbulevardi 78;+358 41 8201314;mkinnunen@itkuntoon.com;IT-suojauksen analyytikko;Tietoturva;jnyman;p478Hfc^wA@%
mmanninen;Maria;Manninen;MM;OU=Projektinhallinta,OU=Oulu,DC=tahvanainen,DC=local;Oulu;64936;Finland;ITKuntoon;Oulu;Ida Ekmanin polku 625;+358 40 9048124;mmanninen@itkuntoon.com;Projektipäällikkö;Projektinhallinta;mkinnunen;yoGjLml0!!3A
