Name,GivenName,Surname,SamAccountName,UserPrincipalName,Email,Office,Department,Title,StreetAddress,Phone,Manager
Jari Kallio,Jari,Kallio,jari.kallio,jari.kallio@example.com,jari.kallio@example.com,Lahti,Johto,Toimitusjohtaja,"Vapaudenkatu 8, 15110 Lahti",(+358) 639233214,
Leevi Partanen,Leevi,Partanen,leevi.partanen,leevi.partanen@example.com,leevi.partanen@example.com,Lahti,Johto,Toimipaikkajohtaja,"Fallpakankuja 9, Lahti",0356327295,Jari Kallio
Tiina Luoma,Tiina,Luoma,tiina.luoma,tiina.luoma@example.com,tiina.luoma@example.com,Kotka,Johto,Toimipaikkajohtaja,"Ida Ekmanin kuja 480, Kotka",(+358) 358178397,Jari Kallio
Jenni Järvenpää,Jenni,Järvenpää,jenni.jarvenpaa,jenni.jarvenpaa@example.com,jenni.jarvenpaa@example.com,Oulu,Johto,Toimipaikkajohtaja,"Rukkilankatu 2, Oulu",+358 10 2761612,Jari Kallio
Maria Koskinen-Heinonen,Maria,Koskinen-Heinonen,maria.koskinenheinonen,maria.koskinenheinonen@example.com,maria.koskinenheinonen@example.com,Lahti,Johto,Toimitusjohtaja,"Vaarnatie 3, Lahti",(+358) 486257029,Leevi Partanen
Maria Kyllönen,Maria,Kyllönen,maria.kyllonen,maria.kyllonen@example.com,maria.kyllonen@example.com,Lahti,Johto,Johtaja,"Elisabeth Kochin polku 262, Lahti",+358 857341521,Maria Koskinen-Heinonen
Joel Mattila,Joel,Mattila,joel.mattila,joel.mattila@example.com,joel.mattila@example.com,Lahti,Johto,Johtaja,"Granfeltinkuja 56, Lahti",(+358) 658120567,Maria Koskinen-Heinonen
Iida Nurmi,Iida,Nurmi,iida.nurmi,iida.nurmi@example.com,iida.nurmi@example.com,Lahti,Johto,Johtaja,"Tahtipolku 364, Lahti",(+358) 176418457,Maria Koskinen-Heinonen
Eero Tanskanen,Eero,Tanskanen,eero.tanskanen,eero.tanskanen@example.com,eero.tanskanen@example.com,Lahti,Johto,Johtaja,"Lemunbulevardi 469, Lahti",0736535054,Maria Koskinen-Heinonen
Sofia Nyman,Sofia,Nyman,sofia.nyman,sofia.nyman@example.com,sofia.nyman@example.com,Lahti,Johto,Johtaja,"Uunisepänkatu 56, Lahti",+358 18 8308428,Maria Koskinen-Heinonen
